ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Marrakech,CPGE privée Koutoubia-Prépas (99697011),1,0,0,0,0,0,0,0
Marrakech,Ibn Ghazi (L0057),10,3,3,0,0,0,0,0
Marrakech,Marrakech Prépas (99926814),7,3,2,1,1,0,0,0
Marrakech,Lycée Ibn Timiya (99926511),78,23,40,9,34,8,14,5
Marseille,Lycée Notre Dame de Sion (0131341M),20,3,5,0,4,0,2,0
Marseille Cedex 1,Lycée Thiers (0130040Y),95,20,77,18,68,15,21,5
Maubeuge,Lycée Notre-Dame De Grâce (0592916Z),3,1,0,0,0,0,0,0
Meknès,CARNOT PREPAS (L0006),10,3,5,2,4,2,0,0
Meknès,Lycée Omar Ibn Al Khattab (99928611),74,25,40,12,33,12,6,0
Meknès,Prépa-Sup Ibn Ghazi El Meknassi (99901121),12,3,8,3,5,2,0,0
Melun Cedex,Lycée Jacques Amyot (0770933W),31,4,22,1,18,0,5,0
Metz Cedex 1,Lycée Fabert (0570054Z),66,18,56,16,49,15,14,4
Mohammedia,Lycée Omar Khayyam - Mohammadia (99928911),4,0,2,0,2,0,0,0
Mohammedia,Lycée Technique - Mohammadia (99927711),18,6,9,2,6,1,0,0
Montpellier,Lycée Notre Dame de La Merci (0340881Y),17,3,12,3,6,2,3,1
Montpellier Cedex 2,Lycée Joffre (0340038G),88,28,83,26,76,25,23,8
Mulhouse,Lycée Albert Schweitzer (0680031P),25,6,14,3,10,3,3,0
Nancy Cedex,Lycée Henri Poincaré (0540038Y),67,14,64,12,60,10,21,3
Nantes,Lycée Saint Stanislas (0440163N),30,9,25,8,21,6,6,2
Nantes Cedex 1,Lycée Clémenceau (0440021J),70,12,66,10,55,8,19,4
Neuilly-Sur-Seine Cedex,Lycée Louis Pasteur (0920142E),79,20,78,20,75,20,23,8
Nice Cedex 1,Lycée Massena (0060030A),84,11,77,10,65,7,17,4
Nîmes Cedex,Lycée Alphonse Daudet (0300021K),36,8,31,7,24,6,9,2
Nîmes Cedex,Lycée Emmanuel d'Alzon (0300080Z),25,3,6,0,2,0,2,0
Nouakchott,Institut Préparatoire aux Grandes Ecoles d'Ingénieurs de Nouakchott (IPGEI) (L0084),5,1,0,0,0,0,0,0
Orléans,Lycée Saint Charles (0450110A),8,1,4,1,2,0,0,0
Orléans Cedex 1,Lycée Pothier (0450049J),99,17,77,12,66,11,25,7
Orsay,Lycée Blaise Pascal (0910626L),41,11,40,11,39,11,10,5
Oujda,Lycée Omar Ibn Abdelaziz (99927611),24,9,5,0,4,0,0,0
Oujda,Pythagore Prépas (99700011),5,2,1,0,1,0,0,0
Paris,Lycée Saint-Louis (0750658H),166,35,157,33,144,32,44,10
Paris,Lycée Janson de Sailly (0750699C),168,45,151,43,125,32,48,14
Paris 4e,Lycée Charlemagne (0750652B),78,13,70,12,64,9,28,4
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),54,3,46,3,39,2,8,2
Paris Cedex 05,Lycée Henri IV (0750654D),88,18,84,18,82,18,15,6
Paris Cedex 05,Lycée Louis Le Grand (0750655E),200,44,189,42,174,40,32,11
Paris Cedex 06,Lycée Stanislas (0753840S),87,10,83,9,82,9,22,1
Paris Cedex 09,Lycée Jacques Decour (0750668U),37,8,21,4,13,2,5,1
Paris Cedex 12,Lycée Paul Valery (0750679F),30,7,16,4,11,3,2,0
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),26,7,13,5,11,4,2,0
Paris 15e,Lycée Buffon (0750693W),31,5,26,5,18,4,5,1
Paris 16e,Lycée Claude Bernard (0750698B),23,4,10,1,6,1,4,1
Paris 6e,Lycée Fénelon (0750660K),75,20,65,18,57,14,18,4
Paris 8e,Lycée Chaptal (0750663N),83,18,66,15,55,10,14,2
Paris 9e,Lycée Condorcet (0750667T),83,16,72,16,63,14,20,7
Pau Cedex,Lycée Louis Barthou (0640055M),27,8,24,7,15,5,3,1
Perpignan,Lycée François Arago (0660010C),18,1,9,0,8,0,3,0
Pointe-à-Pitre Cedex (guadeloupe),Lycée Baimbridge (9710003B),24,2,11,1,8,1,3,1
Poitiers Cedex,Lycée Camille Guérin (0860035W),63,10,52,7,30,4,9,1
Pontoise,Lycée Camille Pissarro (0950649P),11,2,7,1,5,0,1,0
Rabat,Lycée Ibn Al Ghazi (99951011),67,21,28,8,25,8,2,0
Rabat,Lycée Moulay Youssef (99926611),139,45,84,25,74,24,24,9
Rabat,Lycée privé Al Khawarizmi CPGE (99928311),20,4,4,0,3,0,1,0
Reims Cedex 2,Lycée Clémenceau (0510031G),82,18,65,14,56,12,20,6
Rennes Cedex 7,Lycée Chateaubriand (0350710G),93,17,85,15,73,15,23,2
Rodez,Lycée Ferdinand Foch (0120022J),13,3,4,1,3,1,0,0
Roubaix,Lycée privé Saint Rémi (0592921E),14,1,11,0,10,0,1,0
Rouen Cedex,Lycée Pierre Corneille (0760090K),69,15,64,15,54,13,18,2
Safi,Lycée Moulay Abdellah (99929411),5,0,2,0,0,0,0,0
Saint-Brieuc Cedex,Lycée Francois Rabelais (0220056S),21,2,10,0,9,0,4,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),15,6,14,6,8,5,2,1
Saint-Denis,Lycée Paul Eluard (0930125F),5,1,2,1,2,1,2,1
Sainte-Clotilde Cedex (la Réunion),Lycée Leconte de Lisle (9740001H),20,6,13,3,8,1,1,0
Saint-Etienne Cedex 1,Lycée Claude Fauriel (0420041S),66,10,53,7,40,5,12,3
Saint-Germain-En-Laye Cedex,Lycée Jeanne D'Albret (0782132U),27,7,26,7,18,4,6,1
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),11,2,10,2,7,2,0,0
Saint-Maur-Des-Fosses Cedex,Lycée Marcelin Berthelot (0940120V),69,19,62,16,53,15,16,5
Saint-Pierre,Lycée Catholique Saint Charles (9741255W),19,3,15,3,13,3,5,2
Sale,Collège Selmane Al-Farissi (L0002),31,11,16,8,12,6,3,1
Sale,Université Internationale de Rabat (U0010),16,6,8,5,6,4,1,0
Savigny-Sur-Orge Cedex,Lycée Jean Baptiste Corot (0910627M),34,3,30,3,28,2,7,0
Sceaux Cedex,Lycée Lakanal (0920145H),30,9,30,9,26,7,7,3
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),72,15,54,10,48,9,11,2
Strasbourg Cedex,Lycée Kleber (0670080Y),122,23,107,21,93,19,39,8
Tanger,GROUPE ASSAFA (SOPHOS) (L0005),8,3,1,0,0,0,0,0
Tanger,Lycée Al Bayrouni (99901131),1,0,1,0,0,0,0,0
Tanger,Lycée Moulay Hassan (99926911),47,10,16,1,15,1,3,1
Taza,Lycée Charif Al Idrissi (3500052E),18,3,10,1,4,1,0,0
Tetouan,Faculté des sciences (U208),1,0,0,0,0,0,0,0
Toulon Cedex,Lycée Dumont D'Urville (0830053G),15,4,7,2,3,0,0,0
Toulouse,Lycée Bellevue (0310038Y),42,8,27,4,19,4,4,2
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),118,27,101,22,95,20,31,9
