ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Agadir,Lycée Reda Slaoui (99926811),2,0,0,0,0,0,0,0
Aix-En-Provence Cedex 1,Lycée Militaire (0131596P),25,5,16,4,12,4,5,1
Aix-En-Provence Cedex 5,Lycée Paul Cézanne (0130002G),14,7,8,5,6,3,2,1
Amiens Cedex 03,Lycée Louis Thuillier (0800009A),35,12,13,4,12,4,2,1
Angers Cedex 01,Lycée Henri Bergson (0491966W),15,1,9,1,5,0,2,0
Annecy Cedes,Lycée Berthollet (0740003B),32,13,18,7,8,3,3,0
Antony,Lycée Sainte Marie (0920904H),22,3,15,2,9,0,3,0
Arras,Lycée Robespierre (0620006V),4,2,0,0,0,0,0,0
Autun Cedex,Lycée Militaire National (0711064W),7,1,4,0,3,0,3,0
Beni-Mellal,Lycée Technique Mohamed V (99929811),1,0,0,0,0,0,0,0
Besançon,Lycée Victor Hugo (0250007X),33,5,24,5,19,5,8,3
Bizerte,IPEIB (16200011),1,0,0,0,0,0,0,0
Blois Cedex,Lycée Dessaignes (0410002E),4,0,2,0,1,0,0,0
Bordeaux Cedex,Lycée Camille Jullian (0330023W),13,6,6,2,3,2,0,0
Bordeaux Cedex,Lycée Michel Montaigne (0330021U),99,16,75,10,57,8,13,2
Boulogne-Sur-Mer Cedex,Lycée Mariette (0622949U),11,0,5,0,1,0,0,0
Bourg-En-Bresse,Lycée Lalande (0010013J),6,0,3,0,2,0,0,0
Bourges,Lycée Alain-Fournier (0180005H),9,3,5,2,3,1,0,0
Brest,Lycée Naval (0290063L),29,7,18,2,10,0,7,0
Brest,Lycée Sainte Anne (0290338K),5,0,1,0,0,0,0,0
Brest Cedex 2,Lycée de Kerichen (0290007A),39,5,23,2,12,2,3,0
Caen Cedex 4,Lycée Malherbe (0140013N),61,9,32,8,22,8,7,2
Cannes Cedex,Lycée Stanislas (0060673Z),4,0,1,0,1,0,1,0
Casablanca,Centre privé GALILEE (99927511),6,1,0,0,0,0,0,0
Casablanca,ECOLE YASSAMINE CALIFORNIE (L0004),7,1,0,0,0,0,0,0
Casablanca,Groupe scolaire La Résidence (3500055H),12,3,2,0,1,0,0,0
Casablanca,Lycée Al Khansa (3500050C),8,0,2,0,1,0,0,0
Casablanca,Lycée Mohamed V (99926411),7,1,2,0,1,0,1,0
Castres,Lycée Borde Basse (0810959C),8,1,4,0,3,0,0,0
Chambéry,Lycée Vaugelas (0730013T),4,0,1,0,1,0,0,0
Chartres,Lycée Marceau (0280007F),21,5,13,3,10,2,3,1
Cherbourg-Octeville,Lycée Victor Grignard (0501828R),27,5,12,3,6,1,3,1
Clermont-Ferrand,Lycée Godefroy De Bouillon (0631068U),7,0,2,0,2,0,0,0
Clermont-Ferrand,Lycée La Fayette (0630021F),13,4,9,3,5,0,3,0
Clermont-Ferrand Cedex,Lycée Blaise Pascal (0630018C),66,15,39,8,29,4,9,0
Compiègne Cedex,Lycée Pierre d'Ailly (0600014P),9,3,3,0,3,0,3,0
Dijon,Lycée Carnot (0210015C),63,12,40,9,29,6,15,4
Douai,Lycée Albert Chatelet (0590063Y),22,9,13,4,11,2,7,2
Dunkerque Cedex,Lycée Jean Bart (0590071G),14,2,4,1,3,0,2,0
El Jadida,classes préparatoires Ibn Younes (L0007),1,0,0,0,0,0,0,0
Enghien-Les-Bains,Lycée Gustave Monod (0950644J),18,2,14,2,12,2,3,0
Epinal,Lycée Claude Gellee (0880020U),8,2,4,0,2,0,2,0
Evry,Lycée Parc des Loges (0911251R),14,2,6,1,4,1,3,1
Fès,Etablissement Al Cachy (99695011),15,3,2,0,1,0,0,0
Fès,Ibn Ghazi (L0056),7,2,2,1,2,1,2,1
Fès,Institution Marie Curie (99926812),4,3,0,0,0,0,0,0
Fès,Lycée Moulay Idriss (99926711),14,4,2,0,1,0,0,0
Fès,Prépas Al Khayyam (99694011),1,0,0,0,0,0,0,0
Fontainebleau,Lycée François 1er (0770927P),18,3,9,1,7,1,3,0
Forbach,Lycée Jean Moulin (0570029X),11,5,2,1,1,0,0,0
Fort-De-France Cedex,Lycée de Bellevue (9720003W),2,1,0,0,0,0,0,0
Grenoble Cedex 1,Lycée Champollion (0380027Y),60,8,42,5,31,4,12,1
Jarville-La-Malgrange,Lycée La Malgrange (0541986R),4,1,3,1,0,0,0,0
Kenitra,Lycée Abdelmalek Essaâdi (99948211),4,1,0,0,0,0,0,0
Khouribga,Centre Ibn Abdoun (99699011),1,1,0,0,0,0,0,0
