ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Périgueux,Lycée Bertran de Born (0240024W),12,0,1,0,1,0,0,0
Perpignan,Lycée François Arago (0660010C),5,1,1,0,1,0,0,0
Pointe-à-Pitre,L.G.T.Baimbridge (9710003B),5,3,0,0,0,0,0,0
Poitiers,Lycée Camille Guérin (0860035W),33,13,8,3,5,2,2,0
Quimper,Lycée Auguste Brizeux (0290069T),11,4,3,2,1,0,1,0
Reims,Lycée F. Roosevelt (0510034K),13,5,7,3,4,3,1,1
Rennes,Lycée Chateaubriand (0350710G),62,21,30,7,24,5,9,4
Rennes,Lycée privé Assomption (0350778F),9,2,2,0,2,0,0,0
Rouen,Lycée Pierre Corneille (0760090K),61,13,36,8,34,8,7,1
Saint-Brieuc,Lycée Francois Rabelais (0220056S),9,2,2,1,1,0,0,0
Sainte-Clotilde,Lycée Leconte de Lisle (9740001H),13,5,3,0,3,0,1,0
Saint-Etienne,Lycée Claude Fauriel (0420041S),43,18,11,3,6,2,0,0
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),18,5,6,0,4,0,1,0
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),3,0,0,0,0,0,0,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),54,23,24,9,20,7,9,2
Saint-Nazaire,Lycée Aristide Briand (0440069L),8,1,1,0,0,0,0,0
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),5,0,0,0,0,0,0,0
Salon-De-Provence,Lycée de l'Emperi (0130160D),7,0,2,0,0,0,0,0
Savigny-Sur-Orge,Lycée Jean Baptiste Corot (0910627M),24,8,8,2,5,2,4,2
Sceaux,Lycée Lakanal (0920145H),73,23,46,13,38,8,17,5
Strasbourg,Lycée Kleber (0670080Y),47,11,18,7,13,4,2,0
Tarbes,Lycée Théophile Gautier (0650025Z),5,3,0,0,0,0,0,0
Toulon,Lycée Dumont D'Urville (0830053G),18,6,1,0,1,0,0,0
Toulouse,Lycée Bellevue (0310038Y),30,11,10,4,8,3,0,0
Toulouse,Lycée Déodat de Séverac (0310044E),11,2,2,1,1,0,1,0
Toulouse,Lycée Pierre de Fermat (0310036W),75,28,45,18,42,16,8,2
Tourcoing,Lycée Gambetta (0590212K),4,0,0,0,0,0,0,0
Tours,Lycée Descartes (0370035M),38,10,12,2,10,2,2,0
Troyes,Lycée Chrestien De Troyes (0100022V),3,0,1,0,0,0,0,0
Tulle,Lycée Edmond Perrier (0190032G),3,0,1,0,1,0,0,0
TUNIS,I.P.E.I.T (99922211),1,0,0,0,0,0,0,0
Valbonne,C.I.V. Valbonne (0061642C),26,4,4,0,4,0,0,0
Valence,Lycée Camille Vernet (0260035X),2,0,0,0,0,0,0,0
Valenciennes,Lycée Henri Wallon (0590221V),66,19,12,3,10,3,4,0
Vanves,Lycée Michelet (0920149M),24,7,6,2,3,1,0,0
Versailles,Lycée Hoche (0782562L),80,30,53,21,48,20,26,10
Versailles,Lycée Sainte Geneviève (0783053V),144,36,137,32,127,30,42,10
