ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Paris 15e,Lycée Buffon (0750693W),36,9,34,9,29,8,9,3
Paris 16e,Lycée Janson de Sailly (0750699C),121,49,107,42,91,39,22,13
Paris 17e,Lycée Carnot (0750704H),31,14,26,10,20,9,9,4
Pau,Lycée Louis Barthou (0640055M),54,20,53,20,43,15,24,8
Périgueux,Lycée Bertran de Born (0240024W),29,6,20,2,14,2,8,1
Perpignan,Lycée François Arago (0660010C),22,7,16,5,13,5,6,1
Pointe-à-Pitre,L.G.T.Baimbridge (9710003B),30,19,19,11,17,9,4,2
Poitiers,Lycée Camille Guérin (0860035W),50,24,40,20,32,17,17,8
Quimper,Lycée Auguste Brizeux (0290069T),39,16,27,10,20,9,12,5
Reims,Lycée F. Roosevelt (0510034K),53,15,44,11,36,8,19,6
Rennes,Lycée Chateaubriand (0350710G),67,20,64,17,55,14,25,6
Rennes,Lycée privé Assomption (0350778F),17,3,9,0,4,0,1,0
Rouen,Lycée Pierre Corneille (0760090K),98,22,88,19,76,19,21,6
Saint-Brieuc,Lycée Francois Rabelais (0220056S),13,4,7,1,5,1,2,0
Sainte-Clotilde,Lycée Leconte de Lisle (9740001H),24,11,14,5,10,3,7,1
Saint-Etienne,Lycée Claude Fauriel (0420041S),65,18,60,16,54,16,24,8
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),25,7,19,5,18,5,8,3
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),18,2,13,1,13,1,11,1
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),76,28,63,23,57,21,19,9
Saint-Nazaire,Lycée Aristide Briand (0440069L),30,10,23,8,15,5,11,4
Saint-Quentin,Lycée Pierre de La Ramée (0020049T),18,7,9,4,8,3,1,1
Salon-De-Provence,Lycée de l'Emperi (0130160D),30,5,14,3,10,3,6,2
Savigny-Sur-Orge,Lycée Jean Baptiste Corot (0910627M),22,10,16,8,15,7,6,3
Sceaux,Lycée Lakanal (0920145H),69,26,65,26,58,23,12,10
Sousse,EPAM (99951113),5,1,2,0,1,0,1,0
Strasbourg,Lycée Kleber (0670080Y),85,29,75,25,62,22,25,8
Tarbes,Lycée Théophile Gautier (0650025Z),28,13,14,9,11,8,8,6
Toulon,Lycée Dumont D'Urville (0830053G),49,19,34,13,24,9,16,7
Toulouse,Lycée Bellevue (0310038Y),29,9,29,9,29,9,14,4
Toulouse,Lycée Déodat de Séverac (0310044E),36,18,29,16,22,11,14,5
Toulouse,Lycée Pierre de Fermat (0310036W),68,24,68,24,61,23,17,7
Tourcoing,Lycée Gambetta (0590212K),23,7,15,4,9,3,4,1
Tours,Lycée Descartes (0370035M),75,22,63,20,54,16,26,10
Troyes,Lycée Chrestien De Troyes (0100022V),12,5,11,5,9,4,9,4
Tulle,Lycée Edmond Perrier (0190032G),10,4,8,4,2,0,1,0
Tunis,IPEI El Manar (99951211),1,0,0,0,0,0,0,0
Tunis,I.P.E.I.T (99922211),3,2,0,0,0,0,0,0
Tunis,IPEST (99926211),42,21,30,13,27,12,19,11
Valbonne,C.I.V. Valbonne (0061642C),43,19,25,11,18,8,12,6
Valence,Lycée Camille Vernet (0260035X),14,9,5,3,4,2,2,2
Valenciennes,Lycée Henri Wallon (0590221V),85,24,73,21,65,18,27,6
Vanves,Lycée Michelet (0920149M),30,8,26,8,19,5,7,4
Versailles,Lycée Hoche (0782562L),71,28,65,25,55,24,10,5
Versailles,Lycée Sainte Geneviève (0783053V),128,38,118,36,67,23,5,4
