ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
MARSEILLE,ANTONIN ARTAUD,22,0,14,0,11,0,3,0
AMIENS,EDOUARD BRANLY,19,3,10,1,6,0,4,0
MONTBELIARD,JULES VIETTE,16,4,10,2,8,1,0,0
PAU,SAINT CRICQ,22,2,16,2,9,2,4,1
CLERMONT-FERRAND,LA FAYETTE,19,0,15,0,9,0,3,0
DIJON,GUSTAVE EIFFEL,26,0,11,0,7,0,1,0
CHAMBERY,MONGE,28,2,13,1,11,1,2,0
TOURCOING,COLBERT,13,0,7,0,5,0,2,0
VALENCIENNES,DU HAINAUT,13,0,11,0,8,0,3,0
BRIVE,GEORGES CABANIS,28,2,21,2,10,1,4,0
LYON,EDOUARD BRANLY,22,2,19,2,9,0,1,0
ALES,J.B. DUMAS,26,0,11,0,10,0,6,0
METZ,LOUIS VINCENT,19,2,14,1,11,0,4,0
SAINT-NAZAIRE,ARISTIDE BRIAND,24,0,15,0,9,0,3,0
TOULON,M. ROUVIERE,20,1,18,1,16,1,12,1
AULNAY SOUS BOIS,VOILLAUME,8,0,4,0,1,0,1,0
CACHAN,GUSTAVE EIFFEL,27,3,13,0,10,0,3,0
PARIS 14,RASPAIL,32,3,27,3,22,3,9,1
RUEIL-MALMAISON,POLYVALENT RICHELIEU,23,1,23,1,18,1,10,0
ST OUEN L'AUMONE,JEAN PERRIN,33,1,20,0,14,0,6,0
LA ROCHELLE,LEONCE VIELJEUX,37,4,31,3,14,1,3,0
SAINT-BRIEUC,CHAPTAL,16,2,11,1,8,0,4,0
SOTTEVILLE-LES-ROUEN,MARCEL SEMBAT,18,0,8,0,5,0,0,0
COLMAR,BLAISE PASCAL,24,0,13,0,10,0,5,0
ALBI,RASCOL,25,2,13,0,12,0,7,0
,SPE. MAROCAINE,1,0,1,0,1,0,1,0
TROYES,DES LOMBARDS,19,1,13,1,5,0,2,0
LORIENT,SAINT-JOSEPH,16,0,10,0,8,0,5,0
MOHAMMEDIA,CPGE LNTA,28,0,11,0,7,0,5,0
SAFI,AL KHAWARIZMI TECHNIQUE,7,1,4,0,4,0,4,0
RABAT,ENSET de RABAT,1,1,0,0,0,0,0,0
