ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Orsay,Lycée Blaise Pascal (0910626L),37,9,36,9,30,7,10,2
Paris,Lycée Raspail (0750691U),42,13,31,12,25,10,8,5
Paris 8e,Lycée Fénelon Sainte-Marie (0753873C),34,5,33,5,26,5,3,0
Paris Cedex 05,Lycée Louis Le Grand (0750655E),34,4,31,3,11,3,0,0
Paris Cedex 06,Lycée Stanislas (0753840S),53,11,48,9,32,6,5,1
Paris Cedex 09,Lycée Jacques Decour (0750668U),83,15,62,10,50,10,15,1
Paris Cedex 12,Lycée Paul Valery (0750679F),42,14,29,11,22,9,6,3
Paris 13e,Lycée Pierre-Gilles de Gennes - ENCPB (0750685M),34,8,24,4,16,2,6,1
Paris 15e,Lycée Buffon (0750693W),45,13,33,7,26,5,9,3
Paris 16e,Lycée Claude Bernard (0750698B),68,14,47,11,38,10,16,5
Paris 16e,Lycée Janson de Sailly (0750699C),87,27,76,24,63,21,10,6
Paris 16e,Lycée Jean-Baptiste Say (0750700D),37,11,34,10,27,8,6,3
Paris 6e,Lycée Saint-Louis (0750658H),194,52,177,49,144,43,36,16
Paris 8e,Lycée Chaptal (0750663N),92,11,80,10,63,9,17,2
Paris 9e,Lycée Condorcet (0750667T),38,10,34,9,25,8,2,1
Pau,Lycée Louis Barthou (0640055M),42,11,32,7,27,7,16,5
Perpignan,Lycée François Arago (0660010C),40,7,31,3,23,2,5,1
Poitiers,Lycée Camille Guérin (0860035W),40,10,33,8,31,7,18,6
Provins Cedex,Internat d'Excellence de Sourdun (0772737G),4,2,0,0,0,0,0,0
Quimper,Lycée Auguste Brizeux (0290069T),29,8,21,6,15,4,6,1
Rabat,Lycée Ibn Al Ghazi (99951011),59,24,7,2,4,0,1,0
Rabat,Lycée Moulay Youssef (99926611),25,9,11,3,3,0,0,0
Reims,Lycée F. Roosevelt (0510034K),82,15,45,8,38,7,11,4
Remire-Montjoly,Lycée Léon-Gontran Damas (9730196A),9,3,3,1,3,1,2,1
Rennes,Lycée Joliot-Curie (0350029S),38,6,31,6,26,5,11,2
Rennes,Lycée privé Assomption (0350778F),9,4,6,2,4,1,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),72,12,66,12,60,12,17,7
Rouen,Lycée Pierre Corneille (0760090K),37,11,37,11,35,11,5,2
Saint-Brieuc,Lycée Francois Rabelais (0220056S),17,4,10,2,8,1,2,0
Saint-Cyr-L'Ecole Cedex,Lycée Militaire de Saint-Cyr (0780015T),29,4,19,1,14,1,7,1
Saint-Denis,Lycée Paul Eluard (0930125F),26,7,6,2,4,0,0,0
Sainte-Clotilde Cedex,Lycée Leconte de Lisle (9740001H),28,7,17,4,12,3,2,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),28,4,24,3,20,3,7,1
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),36,11,33,10,31,10,15,5
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),24,2,22,2,20,2,11,1
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),36,6,27,5,23,5,5,2
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),86,13,78,11,57,9,13,2
Sceaux Cedex,Lycée Lakanal (0920145H),24,5,24,5,18,4,0,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),36,8,26,7,21,6,7,4
Strasbourg,Lycée Kleber (0670080Y),82,13,77,11,65,8,27,4
Strasbourg,Lycée Louis Couffignal (0670085D),34,6,17,1,13,0,5,0
Strasbourg,Lycée Ort (0671636P),26,3,23,3,17,3,5,1
Tanger,Centre Pédagogique Régional (99926911),9,7,1,0,0,0,0,0
Toulon,Lycée Dumont D'Urville (0830053G),38,9,27,7,25,6,8,2
Toulouse,Lycée Bellevue (0310038Y),48,6,39,5,37,5,22,1
Toulouse,Lycée Déodat de Séverac (0310044E),45,5,35,3,35,3,16,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),42,11,42,11,25,7,3,0
Tours,Lycée J. de Vaucanson (0371418R),29,7,18,4,17,3,10,2
Tours Cedex 1,Lycée Descartes (0370035M),71,14,62,12,58,11,19,5
Troyes,Lycée Chrestien De Troyes (0100022V),17,2,9,1,7,0,4,0
Tunis,IPEST (99926211),12,5,10,5,8,4,3,2
Valenciennes,Lycée Henri Wallon (0590221V),43,3,36,3,33,3,9,0
Vanves,Lycée Michelet (0920149M),38,10,37,10,36,10,15,4
Versailles,Lycée Hoche (0782562L),12,5,9,5,6,5,1,1
Versailles,Lycée Jules Ferry (0782565P),41,6,37,6,33,5,14,3
