ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Pau,Lycée Louis Barthou (0640055M),14,2,7,1,6,1,2,0
Perpignan,Lycée François Arago (0660010C),36,13,12,4,11,3,0,0
Pointe-à-Pitre,L.G.T.Baimbridge (9710003B),16,5,2,0,2,0,1,0
Poitiers,Lycée Camille Guérin (0860035W),28,6,14,3,12,2,3,0
Quimper,Lycée Auguste Brizeux (0290069T),23,3,3,0,2,0,1,0
Rabat,Lycée Moulay Youssef (99926611),10,5,4,1,2,1,0,0
Reims,Lycée F. Roosevelt (0510034K),65,15,28,2,23,2,10,1
Rennes,Lycée Chateaubriand (0350710G),75,16,52,10,42,8,9,2
Rennes,Lycée Joliot-Curie (0350029S),35,8,21,4,17,4,3,1
Rennes,Lycée privé Assomption (0350778F),12,1,4,0,1,0,0,0
Rouen,Lycée Pierre Corneille (0760090K),47,3,35,3,25,3,7,1
Saint-Brieuc,Lycée Francois Rabelais (0220056S),28,5,3,0,2,0,1,0
Saint-Cyr-L'Ecole,Lycée Militaire (0780015T),18,2,4,0,4,0,1,0
Saint-Denis,Lycée Paul Eluard (0930125F),7,2,0,0,0,0,0,0
Sainte-Clotilde,Lycée Leconte de Lisle (9740001H),14,1,2,0,1,0,1,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),32,10,17,4,16,4,8,2
Saint-Germain-en-Laye,Lycée Jeanne D'Albret (0782132U),31,12,20,9,16,6,5,1
Saint-Ismier,Ecole des Pupilles de L'Air (0381513N),16,4,7,0,4,0,1,0
SAINT-MAUR-DES-FOSSES,Lycée D'Arsonval (0940121W),32,9,12,2,5,2,2,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),85,17,68,15,55,13,23,8
Sceaux,Lycée Lakanal (0920145H),45,6,39,6,34,5,5,1
Strasbourg,Lycée Kleber (0670080Y),70,12,39,3,33,2,11,1
Strasbourg,Lycée Louis Couffignal (0670085D),25,5,6,0,3,0,1,0
Strasbourg,Lycée Ort (0671636P),21,6,16,4,11,3,4,2
Toulon,Lycée Dumont D'Urville (0830053G),15,3,7,1,6,1,0,0
Toulouse,Lycée Bellevue (0310038Y),33,6,14,3,13,3,4,2
Toulouse,Lycée Déodat de Séverac (0310044E),44,4,22,3,8,1,0,0
Toulouse,Lycée Pierre de Fermat (0310036W),46,5,44,5,39,5,19,3
Tours,Lycée Descartes (0370035M),48,6,32,4,25,4,8,1
Tours,Lycée J. de Vaucanson (0371418R),9,0,2,0,1,0,0,0
Troyes,Lycée Chrestien De Troyes (0100022V),2,0,1,0,0,0,0,0
Tunis,IPEST (99926211),15,6,15,7,9,6,3,0
Tunis,Université de Tunis (35900002),1,0,0,0,0,0,0,0
Valbonne,C.I.V. Valbonne (0061642C),28,2,25,1,12,1,5,1
Valenciennes,Lycée Henri Wallon (0590221V),37,8,17,3,13,3,2,0
Vanves,Lycée Michelet (0920149M),26,3,15,2,10,0,4,0
Versailles,Lycée Hoche (0782562L),44,8,43,8,42,8,11,3
Versailles,Lycée Jules Ferry (0782565P),36,7,19,2,14,1,3,0
Versailles,Lycée Sainte Geneviève (0783053V),43,3,41,3,37,2,6,1
