ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,entres,dont filles
ROUEN,CORNEILLE,67,23,61,22,50,21,21,8
MULHOUSE,A. SCHWEITZER,30,10,21,6,17,5,14,4
STRASBOURG,FUSTEL DE COULANGES,38,12,26,11,22,9,11,3
STRASBOURG,KLEBER,66,25,58,21,51,17,28,11
TOULOUSE,BELLEVUE,42,10,40,10,37,8,16,7
TOULOUSE,DEODAT DE SEVERAC,26,9,21,7,18,7,9,4
BALMA,SALIEGE,79,19,64,16,60,16,18,6
TOULOUSE,PIERRE DE FERMAT,59,11,49,9,46,9,15,7
MONTBONNOT,PUPILLES DE L'AIR,15,7,12,6,5,2,2,0
CAEN,SAINTE MARIE,15,4,5,0,2,0,1,0
AVIGNON,SAINT JOSEPH,39,11,16,3,11,2,6,2
RENNES,ASSOMPTION,22,9,13,6,12,5,6,4
ALBI,LAPEROUSE,22,8,9,4,7,3,4,3
PERIGUEUX,BERTRAN-DE-BORN,10,1,3,0,2,0,0,0
SAINT-QUENTIN,PIERRE DE LA RAMEE,14,0,0,0,0,0,0,0
PARIS 04,IPESUP,13,5,11,5,8,4,0,0
LYON,JEAN PERRIN,23,11,14,8,13,7,8,3
AIX-EN-PROVENCE,LYCEE MILITAIRE,22,2,16,1,13,1,8,0
ORLEANS,SAINT CHARLES,3,0,0,0,0,0,0,0
PARIS,URANIE,20,3,4,0,2,0,0,0
TARBES,THEOPHILE GAUTIER,23,6,10,4,6,1,2,0
TUNIS,IPEST,20,9,19,9,17,9,6,2
QUIMPER,LYCEE BRIZEUX,21,6,12,4,10,2,7,2
CASABLANCA,ECO SUP GALILEE,2,0,0,0,0,0,0,0
SAINTE CLOTILDE,LECONTE DE LISLE,21,5,15,3,14,2,9,2
FORT DE FRANCE,DE BELLEVUE,16,8,2,1,2,1,1,1
POINTE A PITRE,BAIMBRIDGE,25,9,4,1,3,0,3,0
CASABLANCA,ENS DE CASABLANCA,4,1,0,0,0,0,0,0
MARRAKECH,ENS DE MARRAKECH,6,5,0,0,0,0,0,0
FES,ENS DE FES,3,0,0,0,0,0,0,0
RABAT,ENS de TAKADOUM,6,2,0,0,0,0,0,0
