ville,etablissemnt,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Rennes,Lycée Joliot-Curie (0350029S),1,1,0,0,0,0,0,0
Rennes Cedex 7,Lycée Chateaubriand (0350710G),12,2,4,1,4,1,0,0
Rouen,Lycée Pierre Corneille (0760090K),14,6,4,2,4,2,1,0
Saint-Brieuc,Lycée Francois Rabelais (0220056S),2,1,0,0,0,0,0,0
Saint-Denis,Lycée Paul Eluard (0930125F),2,0,0,0,0,0,0,0
Sainte-Clotilde Cedex,Lycée Leconte de Lisle (9740001H),5,1,0,0,0,0,0,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),1,0,1,0,1,0,0,0
Saint-Maur-Des-Fosses,Lycée D'Arsonval (0940121W),6,2,2,0,2,0,0,0
Saint-Maur-Des-Fosses,Lycée Marcelin Berthelot (0940120V),49,5,21,2,18,2,4,0
Sceaux Cedex,Lycée Lakanal (0920145H),15,1,10,1,10,1,4,0
Sophia Antipolis Cedex,Lycée international de Valbonne (0061642C),10,3,1,0,0,0,0,0
Strasbourg,Lycée Kleber (0670080Y),24,2,3,0,3,0,1,0
Strasbourg,Lycée Louis Couffignal (0670085D),1,0,0,0,0,0,0,0
Strasbourg,Lycée Ort (0671636P),8,1,0,0,0,0,0,0
Toulon,Lycée Dumont D'Urville (0830053G),4,1,0,0,0,0,0,0
Toulouse,Lycée Bellevue (0310038Y),9,1,2,0,2,0,0,0
Toulouse,Lycée Déodat de Séverac (0310044E),9,0,1,0,1,0,0,0
Toulouse Cedex 7,Lycée Pierre de Fermat (0310036W),44,10,26,5,22,4,7,0
Tours Cedex 1,Lycée Descartes (0370035M),13,2,4,2,4,2,1,0
Tunis,IPEST (99926211),14,6,1,0,1,0,0,0
Valenciennes,Lycée Henri Wallon (0590221V),2,0,1,0,1,0,1,0
Vanves,Lycée Michelet (0920149M),4,0,1,0,1,0,1,0
Versailles,Lycée Hoche (0782562L),46,8,29,2,27,1,4,0
Versailles,Lycée Jules Ferry (0782565P),6,0,0,0,0,0,0,0
Versailles,Lycée Sainte Geneviève (0783053V),39,7,34,6,34,6,9,0
