year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2023	BCPST	A BIO	AgroParisTech Campus de Palaiseau										275	60,7%	14,5%	539	522		275
2023	BCPST	A BIO	Bordeaux Sciences Agro										87	64,4%	25,3%	1566	1544		87
2023	BCPST	A BIO	CentraleSupÃ©lec - Campus Metz										20	45,0%	35,0%	284	310		20
2023	BCPST	A BIO	Ecole nationale supÃ©rieure agronomique de Toulouse										86	66,3%	22,1%	1472	1379		92
2023	BCPST	A BIO	ENSAIA Nancy										90	73,3%	17,8%	1734	1648		90
2023	BCPST	A BIO	Institut Agro â Dijon (cursus ingÃ©nieur agronome civil)										28	75,0%	25,0%	1537	1517		23
2023	BCPST	A BIO	Institut Agro â Dijon (cursus ingÃ©nieur en agroalimentaire)										27	81,5%	18,5%	1910	1794		39
2023	BCPST	A BIO	Institut Agro â Dijon (cursus ingÃ©nieur fonctionnaire)										32	71,9%	18,8%	1824	1644		32
2023	BCPST	A BIO	Institut Agro â Montpellier (cursus ingÃ©nieur agronome)										108	67,6%	24,1%	998	932		108
2023	BCPST	A BIO	Institut Agro â Montpellier (cursus ingÃ©nieur SAADS)										12	58,3%	25,0%	926	872		9
2023	BCPST	A BIO	Institut Agro â Rennes-Angers (cursus ingÃ©nieur agronome)										132	68,9%	32,6%	1098	1033		133
2023	BCPST	A BIO	Institut Agro â Rennes-Angers (cursus ingÃ©nieur en Horticulture et Paysage)										45	71,1%	15,6%	1636	1542		46
2023	BCPST	A BIO	ONIRIS Nantes Atlantique (cursus agroalimentaire)										38	71,1%	10,5%	2054	1927		55
2023	BCPST	A BIO	VetAgro Sup Clermont-Ferrand										44	68,2%	11,4%	1975	1919		57
2023	BCPST	A BIO	Concours A BIO	2632	68,7%	18,8%	2353	68,2%	20,7%	2192	67,9%	21,7%	1024						1066
2023	BCPST	X BIO	ECOLE POLYTECHNIQUE	350	57,7%	13,1%	34	55,9%	0,0%	24	54,2%	0,0%	13	61,5%	0,0%	11	11		13
2023	BCPST	A ENV	ENV Alfort										75	69,3%	53,3%	152	157		75
2023	BCPST	A ENV	VetAgro Sup Lyon										86	79,1%	44,2%	166	168		86
2023	BCPST	A ENV	ONIRIS Nantes Atlantique (cursus vÃ©tÃ©rinaire)										82	76,8%	36,6%	376	318		82
2023	BCPST	A ENV	ENV Toulouse										79	69,6%	62,0%	247	232		79
2023	BCPST	A ENV	Concours A ENV	1803	72,9%	23,8%	848	72,5%	35,3%	476	72,7%	41,8%	322						322
2023	BCPST	PC BIO	Bordeaux INP - ENSMAC (ex ENSCBP) Agroalimentaire-GÃ©nie biologique										8	50,0%	50,0%	551	467		10
2023	BCPST	PC BIO	Bordeaux INP - ENSMAC (ex ENSCBP) Chimie-GÃ©nie physique										8	50,0%	25,0%	477	448		5
2023	BCPST	PC BIO	Chimie ParisTech										2	50,0%	50,0%	27	27		3
2023	BCPST	PC BIO	ENSC Lille										4	75,0%	0,0%	374	380		4
2023	BCPST	PC BIO	ENSC Montpellier										2	100,0%	0,0%	130	130		2
2023	BCPST	PC BIO	ESPCI Paris										3	33,3%	0,0%	157	137		3
2023	BCPST	PC BIO	Grenoble INP - Phelma (Physique MatÃ©riaux ProcÃ©dÃ©s)										5	40,0%	20,0%	395	381		2
2023	BCPST	PC BIO	Lorraine INP - ENSIC										5	60,0%	20,0%	565	555		9
2023	BCPST	PC BIO	Concours A PC BIO	1207	65,2%	20,7%	745	61,3%	25,6%	715	62,0%	25,6%	37						38
2023	BCPST	ENS	ENS Ulm	794	57,4%	15,5%	80	45,0%	15,0%	36	41,7%	8,3%	21	38,1%	9,5%	15	16		21
2023	BCPST	ENS	ENS de Lyon	809	58,0%	15,7%	174	46,0%	14,9%	98	45,9%	10,2%	35	40,0%	11,4%	60	55		35
